question,answer
how to get from Canada Water to Green Park,Jubilee line from Canada Water to Green Park
how to get from Cannon Street to Sloan Square,Circle line from Cannon Street to Sloan Square
how to get from Poplar to Monument,DLR from Poplar to Monument station
how to get from Waterloo station to Euston,Northern line from Waterloo to Euston
how to get from Knightsbridge to Wood Green,Piccadilly line from Knightsbridge to Wood Green
how to get from Aldgate to Moor Park,Metropolitan line from Aldgate to Moor Park
how to get from Stratford to Stanmore,Jubilee line from Stratford to Stanmore
how to get from Watford to Aldgate,Metropolitan line from Watford to Aldgate
how to get from Uxbridge to Cockfosters,Piccadilly line from Uxbridge to Cockfosters
how to get from Ealing Broadway to Epping,Central line from Ealing Broadway to Epping
how to get from Waterloo to Bank,Waterloo & City line from Waterloo to Bank
how to get from Aldgate to Edgware Road,Circle line from Aldgate to Edgware Road
